Unnamed: 0,OrigCode,DestCode,Origin,Destination,Trips,Dist,Persons 2011_x,OriPop19,DestEmp19,Ourban,Durban,Inc19_x,region,Inc19_y,lon-origin,lat-origin,lon-dist,lat-dist
95,30111.0,30106.0,Stovner Oslo,Ullern Oslo,1325,14864.8426285369,17580,19116,38334.0,5.04,7.1,489000,30106,648000,10.9228232,59.9621403,10.665131833047553,59.9258182
96,30112.0,30106.0,Alna Oslo,Ullern Oslo,3485,11352.125077371757,29231,30341,38334.0,9.23,7.1,477000,30106,648000,10.8352756,59.9324168,10.665131833047553,59.9258182
97,30113.0,30106.0,Østensjø Oslo,Ullern Oslo,3173,10360.281180261103,27005,30474,38334.0,7.66,7.1,539000,30106,648000,10.83274792453087,59.8875633,10.665131833047553,59.9258182
98,30114.0,30106.0,Nordstrand Oslo,Ullern Oslo,3656,9029.777763851038,27713,30471,38334.0,11.83,7.1,607000,30106,648000,10.7861425,59.8645605,10.665131833047553,59.9258182
99,30115.0,30106.0,Søndre Nordstrand Oslo,Ullern Oslo,1808,13643.498820826146,21953,23438,38334.0,6.16,7.1,539000,30106,648000,10.798495515727911,59.83594385,10.665131833047553,59.9258182
100,30116.0,30106.0,Sentrum Oslo,Ullern Oslo,3552,4752.553670612214,825,1264,38334.0,1.4,7.1,335000,30106,648000,10.7531379,59.9110251,10.665131833047553,59.9258182
101,30117.0,30106.0,Marka Oslo,Ullern Oslo,508,10231.75676145214,1014,1035,38334.0,5.699999999999999,7.1,625000,30106,648000,10.671005191490298,60.040261650000005,10.665131833047553,59.9258182
102,30101.0,30107.0,Gamle Oslo,Vestre Aker Oslo,6155,7545.016450331841,32642,41736,13362.0,4.75,11.55,453000,30107,688000,10.73476733965368,59.8992367,10.6703187408315,59.95830005
103,30102.0,30107.0,Grünerløkka Oslo,Vestre Aker Oslo,6017,6871.279206132806,36931,47824,13362.0,3.65,11.55,450000,30107,688000,10.777421166334747,59.92547125,10.6703187408315,59.95830005
104,30103.0,30107.0,Sagene Oslo,Vestre Aker Oslo,4572,5614.37114950775,27199,33852,13362.0,2.34,11.55,461000,30107,688000,10.765848812662396,59.93827295,10.6703187408315,59.95830005
105,30104.0,30107.0,St. Hanshaugen Oslo,Vestre Aker Oslo,7374,4837.3520028695175,26137,29966,13362.0,2.8,11.55,430000,30107,688000,10.738958251649304,59.9279499,10.6703187408315,59.95830005
106,30105.0,30107.0,Frogner Oslo,Vestre Aker Oslo,14795,5254.111517919711,37858,42741,13362.0,5.35,11.55,464000,30107,688000,10.7066491,59.9222241,10.6703187408315,59.95830005
107,30106.0,30107.0,Ullern Oslo,Vestre Aker Oslo,8621,3098.8418027851576,18359,19164,13362.0,7.1,11.55,648000,30107,688000,10.665131833047553,59.9258182,10.6703187408315,59.95830005
108,30107.0,30107.0,Vestre Aker Oslo,Vestre Aker Oslo,41169,0.0,26115,27837,13362.0,11.55,11.55,688000,30107,688000,10.6703187408315,59.95830005,10.6703187408315,59.95830005
109,30108.0,30107.0,Nordre Aker Oslo,Vestre Aker Oslo,8739,4929.395293312996,29692,31804,13362.0,10.5,11.55,578000,30107,688000,10.756412356654582,59.95363815,10.6703187408315,59.95830005
110,30109.0,30107.0,Bjerke Oslo,Vestre Aker Oslo,2829,8783.026806691258,17453,20501,13362.0,5.85,11.55,490000,30107,688000,10.829208453029786,59.941394700000004,10.6703187408315,59.95830005
111,30110.0,30107.0,Grorud Oslo,Vestre Aker Oslo,1544,11968.924685760752,15957,17273,13362.0,4.37,11.55,453000,30107,688000,10.8805488,59.9614243,10.6703187408315,59.95830005
112,30111.0,30107.0,Stovner Oslo,Vestre Aker Oslo,1429,14130.324163958829,17580,19116,13362.0,5.04,11.55,489000,30107,688000,10.9228232,59.9621403,10.6703187408315,59.95830005
113,30112.0,30107.0,Alna Oslo,Vestre Aker Oslo,4345,11299.39755791996,29231,30341,13362.0,9.23,11.55,477000,30107,688000,10.8352756,59.9324168,10.6703187408315,59.95830005
114,30113.0,30107.0,Østensjø Oslo,Vestre Aker Oslo,3216,11584.194360725754,27005,30474,13362.0,7.66,11.55,539000,30107,688000,10.83274792453087,59.8875633,10.6703187408315,59.95830005
