,OrigCode,DestCode,Origin,Destination,Trips,OPop,DEmpl,Ourban,Durban,OInc,DInc,Distance
233,30114,30113,Nordstrand,Østensjø,10161,30471,12470.0,11.83,7.66,607000,539000,3856.5869821195274
234,30114,30114,Nordstrand,Nordstrand,41953,30471,11179.0,11.83,11.83,607000,607000,0.0
235,30114,30115,Nordstrand,Søndre Nordstrand,8781,30471,6701.0,11.83,6.16,607000,539000,6448.212437264256
236,30114,30116,Nordstrand,Sentrum,4968,30471,77995.0,11.83,1.4,607000,335000,5744.091039045937
237,30114,30117,Nordstrand,Marka,213,30471,793.0,11.83,5.699999999999999,607000,625000,18624.879401336162
238,30115,30101,Søndre Nordstrand,Gamle Oslo,5652,23438,43121.0,6.16,4.75,539000,453000,11762.597643446326
239,30115,30102,Søndre Nordstrand,Grünerløkka,3876,23438,29560.0,6.16,3.65,539000,450000,13644.911152631446
240,30115,30103,Søndre Nordstrand,Sagene,1863,23438,19408.0,6.16,2.34,539000,461000,14966.654633963313
241,30115,30104,Søndre Nordstrand,St. Hanshaugen,3541,23438,54104.0,6.16,2.8,539000,430000,14606.1046028818
242,30115,30105,Søndre Nordstrand,Frogner,4421,23438,48082.0,6.16,5.35,539000,464000,11064.582876695413
243,30115,30106,Søndre Nordstrand,Ullern,1808,23438,38334.0,6.16,7.1,539000,648000,17048.404236492068
244,30115,30107,Søndre Nordstrand,Vestre Aker,1905,23438,13362.0,6.16,11.55,539000,688000,19281.98707246135
245,30115,30108,Søndre Nordstrand,Nordre Aker,2989,23438,42238.0,6.16,10.5,539000,578000,16660.925921644837
246,30115,30109,Søndre Nordstrand,Bjerke,2097,23438,22537.0,6.16,5.85,539000,490000,15100.323178496783
247,30115,30110,Søndre Nordstrand,Grorud,1293,23438,9297.0,6.16,4.37,539000,453000,18681.644128866523
248,30115,30111,Søndre Nordstrand,Stovner,1335,23438,9490.0,6.16,5.04,539000,489000,19409.00485365731
249,30115,30112,Søndre Nordstrand,Alna,4596,23438,31427.0,6.16,9.23,539000,477000,15543.401599309762
250,30115,30113,Søndre Nordstrand,Østensjø,5853,23438,12470.0,6.16,7.66,539000,539000,8307.783299378447
